,alphabet,x,y
550,eye,139.825995,35.742950
551,eye,139.794076,35.697613
552,eye,139.803510,35.703686
553,eye,139.759073,35.696491
554,eye,139.775309,35.705188
555,eye,139.807187,35.694486
556,eye,139.796221,35.693896
557,eye,139.752761,35.718795
558,eye,139.718337,35.561768
559,eye,139.801459,35.671002
560,eye,139.822238,35.724450
561,eye,139.780900,35.726600
562,eye,139.740638,35.609799
563,eye,139.733413,35.645080
564,eye,139.804232,35.694484
565,eye,139.693877,35.699484
566,eye,139.776243,35.726670
567,eye,139.737643,35.761110
568,eye,139.786842,35.734760
569,eye,139.781233,35.730514
570,eye,139.817604,35.725348
571,eye,139.710816,35.622346
572,eye,139.809320,35.713316
573,eye,139.713940,35.647125
574,eye,139.729647,35.587281
575,eye,139.776403,35.676560
576,eye,139.616587,35.673599
577,eye,139.720232,35.741018
578,eye,139.783884,35.722014
579,eye,139.809320,35.713316
580,eye,139.689776,35.659975
581,eye,139.783679,35.682601
582,eye,139.711433,35.557580
583,eye,139.806674,35.700689
584,eye,139.850461,35.750419
585,eye,139.789481,35.685222
586,eye,139.734274,35.672213
587,eye,139.778437,35.703252
588,eye,139.866369,35.674487
589,eye,139.725535,35.657912
590,eye,139.703162,35.770657
591,eye,139.697204,35.713475
592,eye,139.713849,35.611023
593,eye,139.812169,35.704433
594,eye,139.788180,35.688027
595,eye,139.692759,35.753536
596,eye,139.750564,35.699206
597,eye,139.702789,35.643726
598,eye,139.785780,35.703663
599,eye,139.789858,35.694107
600,eye,139.800404,35.709683
601,eye,139.671271,35.683659
602,eye,139.804232,35.694484
603,eye,139.751694,35.651338
604,eye,139.700039,35.681885
605,eye,139.636717,35.605583
606,eye,139.782066,35.713483
607,eye,139.665529,35.734072
608,eye,139.789959,35.712972
609,eye,139.689222,35.708805
610,eye,139.857117,35.785637
611,eye,139.748646,35.771394
612,eye,139.710938,35.636092
613,eye,139.677849,35.574012
614,eye,139.736240,35.720831
615,eye,139.701579,35.786239
616,eye,139.651093,35.674144
617,eye,139.766412,35.694724
618,eye,139.669765,35.649631
619,eye,139.652598,35.748396
620,eye,139.789959,35.712972
621,eye,139.822238,35.724450
622,eye,139.854304,35.749436
623,eye,139.722755,35.699770
624,eye,139.788725,35.730020
625,eye,139.768860,35.705786
626,eye,139.689222,35.708805
627,eye,139.869448,35.706632
628,eye,139.869448,35.706632
629,eye,139.697342,35.631231
630,eye,139.800559,35.714385
631,eye,139.789105,35.723500
632,eye,139.814018,35.741828
633,eye,139.738648,35.576501
634,eye,139.713425,35.597329
635,eye,139.765922,35.705198
636,eye,139.700288,35.557006
637,eye,139.660577,35.727584
638,eye,139.635256,35.654361
639,eye,139.747864,35.713136
640,eye,139.697342,35.631231
641,eye,139.729794,35.707939
642,eye,139.812339,35.768519
643,eye,139.619124,35.654609
644,eye,139.660577,35.727584
645,eye,139.700656,35.582907
646,eye,139.723952,35.563465
647,eye,139.748646,35.771394
648,eye,139.613739,35.656649
649,eye,139.613739,35.656649
650,eye,139.747114,35.639747
651,eye,139.747114,35.639747
652,eye,139.721899,35.743136
653,eye,139.812885,35.672329
654,eye,139.781365,35.697364
655,eye,139.613739,35.656649
656,eye,139.704690,35.758799
657,eye,139.753717,35.658587
658,eye,139.723952,35.563465
659,eye,139.774711,35.692833
660,eye,139.710776,35.699527
661,eye,139.618682,35.702210
662,eye,139.736365,35.573302
663,eye,139.776243,35.726670
664,eye,139.792593,35.688450
665,eye,139.765922,35.705198
666,eye,139.662141,35.681907
667,eye,139.710776,35.699527
668,eye,139.782664,35.674363
669,eye,139.711043,35.727299
670,eye,139.730214,35.713920
671,eye,139.656120,35.724688
672,eye,139.686286,35.679788
673,eye,139.681427,35.754778
674,eye,139.728186,35.739413
675,eye,139.711043,35.727299
676,eye,139.704060,35.741459
677,eye,139.781855,35.665153
678,eye,139.791163,35.683661
679,eye,139.693911,35.683222
680,eye,139.734492,35.626603
681,eye,139.748747,35.614948
682,eye,139.748747,35.614948
683,eye,139.623850,35.652687
684,eye,139.704060,35.741459
685,eye,139.734573,35.590127
686,eye,139.738616,35.702155
687,eye,139.748747,35.614948
688,eye,139.771587,35.780571
689,eye,139.688602,35.790219
690,eye,139.681637,35.688983
691,eye,139.681637,35.688983
692,eye,139.754090,35.752174
693,eye,139.675963,35.695283
694,eye,139.784769,35.662422
695,eye,139.783245,35.705915
696,eye,139.764215,35.813485
697,eye,139.749004,35.710574
698,eye,139.701445,35.616355
699,eye,139.780900,35.726600
700,eye,139.782066,35.713483
701,eye,139.704292,35.661813
702,eye,139.726729,35.703200
703,eye,139.745247,35.620349
704,eye,139.729647,35.587281
705,eye,139.688849,35.572158
706,eye,139.800664,35.653798
707,eye,139.657190,35.617234
708,eye,139.675082,35.677847
709,eye,139.708379,35.570534
710,eye,139.709586,35.721718
711,eye,139.762848,35.718815
712,eye,139.749308,35.627402
713,eye,139.731939,35.579466
714,eye,139.786164,35.659523
715,eye,139.786164,35.659523
716,eye,139.786164,35.659523
717,eye,139.786164,35.659523
718,eye,139.664170,35.695616
719,eye,139.733170,35.582776
720,eye,139.670840,35.688131
721,eye,139.716165,35.621432
722,eye,139.784324,35.717590
723,eye,139.710689,35.676096
724,eye,139.681226,35.590694
725,eye,139.674611,35.585089
726,eye,139.690969,35.693426
727,eye,139.783884,35.722014
728,eye,139.689222,35.708805
729,eye,139.826369,35.708431
730,eye,139.762848,35.718815
731,eye,139.702629,35.731716
732,eye,139.781233,35.730514
733,eye,139.690969,35.693426
734,eye,139.806234,35.793455
735,eye,139.690969,35.693426
